iter	Passed	Remaining
0	1	110
1	2	104
2	3	97
3	3	90
4	4	88
5	5	88
6	6	87
7	7	87
8	8	86
9	9	84
10	10	83
11	11	83
12	12	82
13	13	80
14	14	79
15	15	78
16	16	78
17	16	77
18	17	76
19	18	75
20	19	74
21	20	72
22	21	72
23	22	71
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	45	47
49	46	46
50	47	45
51	48	45
52	49	44
53	50	43
54	51	41
55	52	40
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
