iter	Passed	Remaining
0	242	242733
1	244	121896
2	245	81548
3	247	61641
4	250	49784
5	255	42314
6	259	36811
7	262	32511
8	264	29169
9	269	26668
10	271	24439
11	277	22808
12	279	21208
13	284	20030
14	287	18846
15	289	17802
16	292	16917
17	295	16134
18	298	15398
19	300	14720
20	302	14113
21	305	13572
22	308	13121
23	311	12672
24	314	12249
25	316	11852
26	319	11502
27	321	11156
28	324	10879
29	329	10646
30	331	10371
31	334	10105
32	336	9869
33	339	9659
34	342	9437
35	345	9254
36	348	9076
37	353	8938
38	356	8774
39	358	8601
40	360	8436
41	363	8282
42	367	8185
43	371	8068
44	374	7944
45	377	7822
46	379	7699
47	383	7600
48	385	7490
49	389	7398
50	392	7300
51	395	7206
52	400	7162
53	403	7072
54	406	6990
55	409	6909
56	413	6834
57	417	6776
58	420	6706
59	424	6653
60	427	6581
61	430	6511
62	433	6448
63	436	6381
64	439	6316
65	444	6290
66	446	6218
67	449	6160
68	452	6099
69	455	6053
70	458	6003
71	460	5941
72	463	5882
73	492	6161
74	496	6129
75	500	6090
76	503	6039
77	507	5997
78	510	5947
79	513	5905
80	519	5890
81	523	5855
82	524	5792
83	528	5762
84	532	5733
85	535	5691
86	538	5649
87	542	5624
88	547	5608
89	551	5580
90	558	5578
91	564	5576
92	567	5538
93	570	5502
94	573	5464
95	578	5443
96	581	5409
97	583	5373
98	586	5340
99	589	5306
100	593	5284
101	596	5250
102	599	5217
103	602	5188
104	604	5156
105	608	5134
106	612	5113
107	616	5089
108	621	5077
109	625	5064
110	636	5099
111	641	5082
112	644	5057
113	646	5026
114	649	4997
115	652	4973
116	656	4955
117	659	4931
118	662	4907
119	665	4878
120	668	4852
121	673	4848
122	677	4830
123	680	4808
124	685	4801
125	689	4780
126	691	4751
127	693	4726
128	696	4702
129	699	4683
130	702	4660
131	705	4638
132	707	4613
133	710	4588
134	714	4580
135	718	4563
136	720	4541
137	723	4516
138	726	4498
139	729	4479
140	733	4466
141	734	4440
142	738	4425
143	742	4413
144	746	4402
145	749	4381
146	751	4360
147	754	4340
148	756	4320
149	759	4304
150	765	4301
151	767	4282
152	772	4277
153	776	4265
154	779	4247
155	781	4227
156	784	4211
157	786	4192
158	789	4174
159	792	4158
160	794	4138
161	796	4119
162	798	4102
163	801	4084
164	803	4067
165	807	4056
166	809	4039
167	812	4021
168	814	4003
169	816	3986
170	819	3971
171	822	3957
172	824	3941
173	826	3925
174	829	3909
175	831	3894
176	834	3878
177	837	3865
178	839	3851
179	842	3840
180	845	3827
181	848	3813
182	852	3806
183	855	3793
184	858	3781
185	860	3766
186	863	3752
187	866	3741
188	869	3729
189	871	3714
190	873	3701
191	876	3686
192	878	3672
193	881	3660
194	883	3648
195	886	3634
196	888	3622
197	890	3607
198	892	3593
199	895	3581
200	898	3570
201	900	3556
202	902	3543
203	904	3530
204	907	3517
205	909	3506
206	912	3495
207	914	3483
208	916	3470
209	919	3458
210	921	3446
211	924	3435
212	926	3424
213	928	3412
214	931	3399
215	933	3388
216	936	3377
217	938	3365
218	942	3359
219	944	3348
220	947	3338
221	949	3327
222	952	3317
223	956	3311
224	958	3302
225	961	3292
226	963	3282
227	966	3271
228	968	3260
229	971	3251
230	973	3241
231	976	3231
232	979	3223
233	981	3212
234	983	3202
235	986	3193
236	988	3183
237	991	3173
238	993	3163
239	995	3153
240	997	3142
241	1000	3135
242	1003	3125
243	1005	3115
244	1007	3105
245	1010	3096
246	1012	3086
247	1015	3079
248	1017	3070
249	1020	3061
250	1022	3051
251	1024	3042
252	1027	3032
253	1029	3023
254	1032	3016
255	1034	3007
256	1039	3004
257	1041	2995
258	1043	2986
259	1046	2979
260	1049	2970
261	1051	2961
262	1053	2952
263	1056	2944
264	1058	2935
265	1061	2929
266	1063	2920
267	1066	2912
268	1068	2903
269	1070	2895
270	1073	2886
271	1076	2880
272	1078	2872
273	1080	2863
274	1082	2854
275	1085	2846
276	1087	2837
277	1090	2832
278	1092	2824
279	1095	2818
280	1098	2810
281	1100	2802
282	1104	2797
283	1106	2789
284	1108	2781
285	1111	2773
286	1113	2766
287	1117	2762
288	1121	2759
289	1123	2751
290	1126	2744
291	1128	2736
292	1131	2730
293	1135	2726
294	1138	2719
295	1140	2712
296	1142	2704
297	1145	2698
298	1148	2691
299	1150	2685
300	1153	2678
301	1155	2671
302	1158	2664
303	1160	2656
304	1163	2650
305	1166	2644
306	1168	2637
307	1170	2630
308	1173	2624
309	1176	2617
310	1179	2613
311	1182	2606
312	1184	2600
313	1186	2593
314	1189	2585
315	1191	2579
316	1194	2573
317	1197	2568
318	1199	2561
319	1202	2555
320	1204	2547
321	1206	2541
322	1209	2535
323	1212	2529
324	1214	2522
325	1216	2515
326	1219	2509
327	1221	2502
328	1224	2498
329	1227	2492
330	1229	2485
331	1232	2479
332	1234	2472
333	1236	2466
334	1240	2462
335	1242	2456
336	1245	2450
337	1247	2443
338	1251	2439
339	1254	2434
340	1256	2428
341	1258	2422
342	1261	2415
343	1263	2410
344	1266	2404
345	1269	2399
346	1272	2395
347	1275	2389
348	1277	2382
349	1279	2376
350	1282	2370
351	1284	2364
352	1287	2359
353	1289	2353
354	1291	2347
355	1294	2341
356	1296	2335
357	1299	2330
358	1301	2324
359	1304	2318
360	1306	2312
361	1308	2306
362	1311	2301
363	1318	2304
364	1322	2300
365	1324	2294
366	1327	2290
367	1330	2284
368	1332	2278
369	1334	2272
370	1337	2267
371	1339	2261
372	1342	2255
373	1345	2251
374	1347	2245
375	1349	2240
376	1351	2234
377	1354	2228
378	1356	2223
379	1359	2217
380	1361	2211
381	1363	2206
382	1366	2201
383	1368	2195
384	1371	2190
385	1374	2185
386	1376	2180
387	1378	2175
388	1381	2169
389	1383	2164
390	1386	2159
391	1388	2154
392	1391	2148
393	1393	2143
394	1395	2137
395	1397	2132
396	1400	2126
397	1403	2122
398	1406	2117
399	1408	2112
400	1410	2107
401	1413	2102
402	1415	2097
403	1418	2092
404	1420	2087
405	1422	2081
406	1425	2076
407	1427	2070
408	1430	2066
409	1434	2064
410	1437	2059
411	1439	2054
412	1441	2049
413	1444	2044
414	1447	2039
415	1449	2035
416	1451	2029
417	1453	2024
418	1456	2019
419	1458	2014
420	1461	2010
421	1464	2006
422	1467	2001
423	1469	1996
424	1471	1991
425	1474	1986
426	1476	1981
427	1479	1977
428	1481	1971
429	1483	1966
430	1487	1963
431	1492	1962
432	1494	1957
433	1497	1953
434	1500	1948
435	1502	1943
436	1504	1938
437	1508	1935
438	1512	1932
439	1514	1927
440	1516	1922
441	1519	1917
442	1522	1914
443	1525	1910
444	1528	1905
445	1530	1901
446	1533	1897
447	1537	1893
448	1539	1889
449	1543	1886
450	1548	1884
451	1551	1880
452	1554	1876
453	1556	1871
454	1558	1867
455	1561	1862
456	1563	1857
457	1566	1853
458	1569	1849
459	1571	1844
460	1573	1839
461	1575	1834
462	1579	1831
463	1582	1827
464	1584	1823
465	1586	1818
466	1589	1813
467	1591	1808
468	1593	1804
469	1596	1800
470	1598	1795
471	1600	1790
472	1603	1786
473	1605	1781
474	1607	1776
475	1609	1771
476	1612	1768
477	1615	1764
478	1617	1759
